id,rank
87,1
12,2
1,3
51,4
43,5
89,6
41,7
61,8
18,9
9,10
56,11
79,12
46,13
90,14
50,15
14,16
64,17
67,18
38,19
72,20
23,21
54,22
4,23
39,24
62,25
13,26
84,27
75,28
55,29
28,30
91,31
63,32
85,33
17,34
58,35
16,36
36,37
86,38
71,39
7,40
35,41
73,42
53,43
42,44
37,45
22,46
3,47
74,48
65,49
15,50
82,51
69,52
6,53
83,54
70,55
49,56
81,57
30,58
76,59
44,60
45,61
78,62
57,63
2,64
88,65
20,66
27,67
5,68
11,69
52,70
48,71
10,72
25,73
60,74
24,75
34,76
68,77
21,78
47,79
40,80
19,81
8,82
66,83
31,84
26,85
59,86
32,87
33,88
77,89
29,90
80,91
