id,rank
67,1
64,2
41,3
23,4
9,5
4,6
43,7
54,8
89,9
90,10
46,11
42,12
18,13
55,14
7,15
39,16
2,17
51,18
49,19
12,20
63,21
50,22
61,23
6,24
56,25
52,26
65,27
70,28
14,29
86,30
5,31
79,32
33,33
13,34
45,35
87,36
36,37
27,38
82,39
73,40
48,41
53,42
74,43
75,44
84,45
16,46
69,47
15,48
71,49
58,50
62,51
38,52
34,53
1,54
57,55
83,56
20,57
66,58
37,59
8,60
44,61
3,62
72,63
88,64
17,65
91,66
81,67
78,68
22,69
10,70
28,71
85,72
32,73
30,74
40,75
11,76
19,77
35,78
68,79
76,80
47,81
24,82
77,83
21,84
31,85
25,86
26,87
60,88
59,89
80,90
29,91
