id,rank
80,91
33,90
77,89
29,88
8,87
32,86
59,85
26,84
66,83
21,82
31,81
10,80
19,79
47,78
34,77
68,76
40,75
11,74
24,73
25,72
78,71
60,70
20,69
5,68
52,67
70,66
48,65
15,64
57,63
30,62
27,61
65,60
81,59
45,58
76,57
2,56
83,55
88,54
6,53
44,52
3,51
82,50
49,49
86,48
37,47
22,46
58,45
69,44
53,43
74,42
85,41
36,40
42,39
73,38
55,37
16,36
39,35
7,34
35,33
63,32
71,31
91,30
28,29
72,28
54,27
23,26
17,25
4,24
84,23
13,22
75,21
38,20
90,19
50,18
67,17
14,16
62,15
79,14
46,13
18,12
64,11
56,10
61,9
9,8
41,7
89,6
51,5
43,4
1,3
87,2
12,1
