id,rank
80,91
33,90
77,89
8,88
29,87
32,86
59,85
10,84
26,83
66,82
31,81
19,80
11,79
34,78
47,77
68,76
40,75
78,74
21,73
24,72
20,71
25,70
60,69
70,68
15,67
5,66
52,65
30,64
57,63
48,62
65,61
27,60
81,59
45,58
76,57
83,56
2,55
6,54
88,53
3,52
44,51
82,50
49,49
86,48
58,47
37,46
22,45
85,44
53,43
36,42
69,41
74,40
39,39
42,38
73,37
16,36
55,35
7,34
63,33
35,32
91,31
72,30
71,29
54,28
28,27
4,26
84,25
17,24
23,23
13,22
38,21
90,20
75,19
50,18
67,17
14,16
79,15
18,14
46,13
62,12
64,11
61,10
56,9
9,8
41,7
51,6
89,5
43,4
1,3
87,2
12,1
