id,rank
12,1
87,2
51,3
1,4
41,5
43,6
61,7
9,8
89,9
56,10
18,11
46,12
79,13
50,14
67,15
64,16
90,17
14,18
23,19
38,20
4,21
62,22
72,23
54,24
13,25
75,26
84,27
28,28
39,29
91,30
17,31
55,32
63,33
7,34
71,35
16,36
85,37
35,38
36,39
58,40
42,41
73,42
53,43
86,44
74,45
37,46
22,47
3,48
82,49
69,50
49,51
65,52
6,53
83,54
70,55
15,56
44,57
81,58
76,59
45,60
27,61
30,62
2,63
57,64
88,65
5,66
78,67
52,68
20,69
48,70
60,71
11,72
25,73
24,74
34,75
10,76
40,77
21,78
68,79
47,80
19,81
8,82
31,83
66,84
26,85
59,86
33,87
32,88
77,89
29,90
80,91
