id,rank
12,1
87,2
51,3
1,4
41,5
9,6
43,7
89,8
56,9
61,10
46,11
18,12
64,13
67,14
79,15
62,16
50,17
14,18
90,19
23,20
38,21
75,22
13,23
4,24
28,25
84,26
17,27
54,28
72,29
71,30
91,31
7,32
63,33
35,34
39,35
55,36
16,37
42,38
73,39
74,40
53,41
36,42
85,43
69,44
58,45
49,46
86,47
37,48
22,49
82,50
3,51
6,52
44,53
83,54
27,55
76,56
45,57
65,58
88,59
2,60
81,61
70,62
57,63
5,64
52,65
48,66
30,67
15,68
60,69
20,70
25,71
78,72
24,73
40,74
21,75
34,76
68,77
47,78
11,79
19,80
31,81
10,82
66,83
26,84
59,85
8,86
32,87
29,88
77,89
33,90
80,91
