id,rank
12,1
51,2
87,3
9,4
41,5
61,6
56,7
1,8
43,9
89,10
18,11
46,12
67,13
50,14
64,15
79,16
23,17
14,18
90,19
62,20
38,21
4,22
28,23
75,24
13,25
84,26
72,27
54,28
39,29
17,30
91,31
7,32
71,33
63,34
55,35
42,36
35,37
16,38
53,39
73,40
36,41
74,42
85,43
58,44
86,45
49,46
69,47
82,48
37,49
3,50
22,51
6,52
65,53
27,54
83,55
44,56
45,57
76,58
70,59
81,60
2,61
5,62
88,63
15,64
52,65
57,66
30,67
48,68
20,69
78,70
60,71
40,72
24,73
25,74
34,75
11,76
21,77
68,78
47,79
10,80
19,81
31,82
8,83
66,84
26,85
59,86
33,87
77,88
32,89
29,90
80,91
