学期,学号,书名,日期
1,1,1520557,926
1,1,1458042,1013
1,1,2946186,1013
1,1,1538321,1016
1,1,2794015,1016
1,1,2885156,1021
1,1,2607445,1021
1,1,2767174,1021
1,1,1495883,1026
1,1,1505519,1026
1,1,1301994,1026
1,1,2608930,1026
1,1,1496733,1111
1,1,2566572,1111
1,1,2898752,1111
1,1,2914343,1111
1,1,1512649,1117
1,1,2608774,1117
1,1,2894723,1117
1,1,2919287,1117
1,1,2804907,1117
1,1,2628054,1205
1,1,2797096,1205
1,1,2574632,1214
1,1,2565104,1214
1,1,2786113,1214
2,1,1544201,307
2,1,2875968,420
2,1,2878511,420
2,1,1125930,522
2,1,1104460,522
2,1,1436051,603
2,1,2895132,603
2,1,1379814,603
3,1,1370729,905
3,1,2832865,905
3,1,2704289,905
3,1,1558217,1012
3,1,2854178,1018
3,1,1522634,1018
3,1,2994855,1018
3,1,1272584,1018
3,1,1572099,1105
3,1,1371919,1105
3,1,1549328,1105
3,1,2771078,1126
3,1,1470524,1126
3,1,2957931,1126
1,2,2741738,916
1,2,1376960,1026
1,3,2579725,917
1,3,1263444,918
1,3,1039827,918
1,3,2587432,928
1,3,1498588,928
1,3,1425220,928
1,3,2914365,929
1,3,2894729,929
1,3,2731592,1006
1,3,1267071,1006
1,3,2696761,1006
1,3,2837107,1006
1,3,2588376,1006
1,3,1486535,1013
1,3,1482057,1013
1,3,1297764,1013
1,3,2759616,1014
1,3,2233385,1014
1,3,1031259,1022
1,3,1099681,1022
1,3,1280876,1201
1,3,1280876,117
1,3,1558972,117
1,3,2824055,117
2,3,2591394,225
2,3,1141900,227
2,3,2802434,227
2,3,1301889,303
2,3,1198427,331
2,3,1309053,411
2,3,1170986,418
2,3,1452964,509
2,3,1143702,511
2,3,1322291,620
2,3,1110699,620
2,3,1121725,620
2,3,2858254,705
2,3,2918768,705
2,3,1038860,713
2,3,1190157,713
3,3,1190157,921
3,3,1144694,921
3,3,1374734,1010
3,3,1374748,1115
3,3,1374748,102
3,3,2598589,108
1,4,1473399,928
1,4,1473523,928
2,4,2842315,401
2,4,1257647,401
2,4,2759864,424
2,4,2794758,424
2,4,2656011,424
2,4,1104258,520
2,4,1104258,520
2,4,2842315,520
2,4,2798775,520
2,4,1104258,520
3,4,1363573,924
3,4,1190336,1105
