学期,学号,书名,日期
1,246,2731309,903
1,453,2731311,903
1,514,2676771,904
1,514,2632841,904
1,514,1407088,904
1,514,1529325,904
1,514,2610977,904
1,41,2853664,904
1,41,1443271,904
1,16,2012297,905
1,290,2820937,905
1,290,2672441,905
1,16,2876122,905
1,16,2798839,905
1,132,2676770,905
1,132,2709688,905
1,28,2801169,906
1,28,1358347,906
1,481,2785848,906
1,481,2629717,906
1,150,2671701,906
1,132,2924183,906
1,132,2842261,906
1,132,2912235,906
1,468,1401278,906
1,68,1510611,906
1,537,2855882,906
1,537,2855884,906
1,537,1173144,906
1,21,2563285,906
1,372,2829698,906
1,290,1112284,907
1,290,2908820,907
1,290,1112284,907
1,290,1010839,907
1,290,1010839,907
1,290,2808875,907
1,245,1433321,907
1,362,2883752,907
1,204,2640957,907
1,457,2867689,907
1,457,2720717,907
1,457,2635331,907
1,480,1433861,907
1,457,1433864,907
1,529,1433860,907
1,457,1170196,907
1,150,1211166,908
1,150,1327172,908
1,327,1423945,908
1,468,1295285,908
1,361,2728737,909
1,361,1349786,909
1,5,1004032,909
1,5,1004032,909
1,5,1004032,909
1,5,2899043,909
1,481,1452685,909
1,40,2917894,909
1,40,2869822,909
1,19,1173011,909
1,19,1437082,909
1,446,2775129,909
1,446,2573201,909
1,446,2831183,909
1,455,2607899,909
1,455,2932968,909
1,455,2894491,909
1,231,1316492,909
1,310,2761927,909
1,89,1457807,909
1,89,1457804,909
1,89,1457799,909
1,204,1029866,909
1,204,2846992,909
1,204,1529410,909
1,459,1029867,909
1,459,2842177,909
1,459,2844619,909
1,529,1365257,909
1,145,1319163,909
1,145,2659076,909
1,145,1272666,909
1,406,1288554,909
1,406,2837200,909
1,406,1550230,909
1,268,2702537,909
1,318,1091550,909
1,318,1091551,909
1,392,1507227,909
1,326,1330146,909
1,326,1282411,909
1,326,1273090,909
1,258,1419388,909
1,258,2229806,909
1,263,1461496,909
1,6,2856462,909
1,6,2801506,909
1,135,2796400,909
1,135,2801508,909
1,337,2884474,909
1,65,2931718,909
1,65,1165354,909
1,65,2725945,909
1,65,1329763,909
1,414,1261111,909
1,414,1410252,909
1,414,2831387,909
1,414,1259028,909
1,481,1318562,909
1,481,2670376,909
1,355,1156163,909
1,355,2856787,909
1,355,2934651,909
1,355,1089819,909
1,70,1500298,909
1,119,2825973,909
1,220,1364549,909
1,220,1190709,909
1,220,2925262,909
1,337,2642315,909
1,384,2867663,909
1,384,2918050,909
1,384,2867665,909
1,355,1291557,909
1,355,2237719,909
1,70,1138381,909
1,384,1506764,909
1,384,1188935,909
1,152,2826681,909
1,152,1491352,909
1,422,2884617,909
1,481,1495202,909
1,125,1162444,909
1,125,1440248,909
1,187,2929912,909
1,187,1248828,909
1,179,1277423,909
1,70,2708552,909
1,355,1299252,909
1,405,2797583,909
1,405,2836131,909
1,246,1520365,909
1,349,2690232,909
1,349,1366089,909
1,349,2210910,909
1,349,1034621,909
1,429,1559180,909
1,432,1521373,909
1,105,2664223,909
1,159,2915129,909
1,432,1013454,909
