—ß∆⁄,—ß∫≈,µÿµ„,»’∆⁄, ±º‰,Ω∂Ó
2,1, ≥Ã√,517,71734,4
2,1, ≥Ã√,514,71810,3.8
2,1, ≥Ã√,514,71813,5
2,1, ≥Ã√,516,81503,1.4
2,1, ≥Ã√,513,82647,1.6
2,1, ≥Ã√,513,83801,2.5
2,1,Àﬁ…·,512,92521,0.1
2,1,Àﬁ…·,512,94500,0.8
2,1,≥¨ –,515,100937,9.7
2,1, ≥Ã√,512,112140,3.2
2,1, ≥Ã√,512,113323,1
2,1, ≥Ã√,515,115748,1.5
2,1,Àﬁ…·,514,122857,0.05
2,1,Àﬁ…·,514,161657,0.02
2,1, ≥Ã√,516,163613,1
2,1,≥¨ –,511,164624,8.9
2,1, ≥Ã√,516,165416,2.5
2,1, ≥Ã√,511,165757,1.5
2,1, ≥Ã√,515,175503,3
2,1, ≥Ã√,517,175852,3.5
2,1, ≥Ã√,513,180055,1
2,1, ≥Ã√,513,180058,2.8
2,1,Àﬁ…·,520,201857,0.1
2,1,Àﬁ…·,520,202439,0.5
2,1, ≥Ã√,512,205935,1.8
2,1,≥¨ –,517,214142,2.5
2,1,Àﬁ…·,513,221606,0.4
2,1,Àﬁ…·,516,221932,0.7
2,1,Àﬁ…·,518,224450,0.8
3,1,Àﬁ…·,112,3103,1
3,1,Àﬁ…·,1226,74050,0.01
3,1,Àﬁ…·,1217,74159,0.04
3,1,Àﬁ…·,1220,74319,0.03
3,1,Àﬁ…·,1216,74721,0.03
3,1,Àﬁ…·,107,74828,0.03
3,1,Àﬁ…·,1216,75601,0.01
3,1,Àﬁ…·,1230,75738,0.01
3,1, ≥Ã√,1212,80909,2
3,1, ≥Ã√,1211,80951,2.2
3,1, ≥Ã√,1224,81205,3
3,1, ≥Ã√,1226,81410,2.6
3,1, ≥Ã√,1217,81443,0.5
3,1, ≥Ã√,1216,81826,2.5
3,1, ≥Ã√,1220,81845,1.08
3,1,Àﬁ…·,1231,82121,0.04
3,1,Àﬁ…·,110,90203,3.6
3,1, ≥Ã√,107,90654,2.5
3,1, ≥Ã√,1230,91357,5.5
3,1, ≥Ã√,1220,100319,0.5
3,1, ≥Ã√,1221,100739,4.3
3,1, ≥Ã√,1223,101209,1.8
3,1, ≥Ã√,1219,103015,2.5
3,1,Àﬁ…·,1229,105711,0.1
3,1, ≥Ã√,107,105858,1.5
3,1, ≥Ã√,107,105904,1.8
3,1, ≥Ã√,113,112206,4.2
3,1,Àﬁ…·,1229,112556,2.9
3,1, ≥Ã√,114,113535,5
3,1, ≥Ã√,114,113640,1.2
3,1, ≥Ã√,1229,114249,1.5
3,1, ≥Ã√,1229,114250,1.2
3,1, ≥Ã√,1231,114324,3
3,1, ≥Ã√,1231,114330,1.2
3,1, ≥Ã√,1229,114444,1.5
3,1, ≥Ã√,1229,114706,1.5
3,1, ≥Ã√,1218,114938,4.7
3,1, ≥Ã√,112,114957,1
3,1, ≥Ã√,112,115026,1.6
3,1, ≥Ã√,1211,115125,2.7
3,1, ≥Ã√,1211,115325,1
3,1,≥¨ –,1221,115417,14.2
3,1, ≥Ã√,1231,115424,2.1
3,1, ≥Ã√,1222,120014,4
3,1, ≥Ã√,1222,120017,0.2
3,1, ≥Ã√,1229,120151,1.8
3,1, ≥Ã√,1226,120154,1.8
3,1, ≥Ã√,112,120238,8.5
3,1, ≥Ã√,102,120455,5.5
3,1, ≥Ã√,1217,120626,0.8
3,1,Àﬁ…·,1225,120638,0.01
3,1, ≥Ã√,1212,120732,1.6
3,1, ≥Ã√,1212,120837,1.5
3,1, ≥Ã√,1217,121327,0.4
3,1, ≥Ã√,1217,121427,1.5
3,1, ≥Ã√,1219,121457,3.5
3,1, ≥Ã√,108,121459,3.7
3,1,Àﬁ…·,1225,121551,0.02
3,1, ≥Ã√,1223,121633,3.4
3,1, ≥Ã√,1212,122007,1.6
3,1, ≥Ã√,1212,122332,1
3,1, ≥Ã√,101,122348,4.2
3,1, ≥Ã√,1223,123229,4
3,1,≥¨ –,1226,123508,25.3
3,1,≥¨ –,106,123949,2
3,1,Œƒ”°,106,124203,3.45
3,1, ≥Ã√,101,124311,1
3,1, ≥Ã√,106,130338,4.5
3,1,Àﬁ…·,111,132254,0.05
3,1, ≥Ã√,106,132451,5
3,1,Àﬁ…·,1212,133612,3.6
3,1,Àﬁ…·,111,135958,0.04
3,1, ≥Ã√,1213,141721,3.3
3,1, ≥Ã√,1220,141749,2
3,1, ≥Ã√,1220,141809,2
3,1, ≥Ã√,115,142405,4.5
3,1, ≥Ã√,115,142437,4.5
3,1, ≥Ã√,1214,142501,2.5
3,1, ≥Ã√,103,143405,5.3
3,1,Àﬁ…·,1228,144317,0.04
3,1,Àﬁ…·,1228,145043,0.03
3,1,ΩªÕ®,115,145148,2
3,1,Àﬁ…·,1228,150635,0.04
3,1,Àﬁ…·,1225,155007,3.6
3,1,Àﬁ…·,114,163431,1.3
3,1,Œƒ”°,1217,164739,0.75
3,1, ≥Ã√,1227,165642,5.2
3,1, ≥Ã√,105,170935,5
3,1, ≥Ã√,105,171103,0.4
3,1, ≥Ã√,105,171805,1
3,1, ≥Ã√,1219,172117,4.2
3,1,Àﬁ…·,114,172400,3.6
3,1, ≥Ã√,109,172444,2.53
3,1, ≥Ã√,105,172704,0.5
3,1, ≥Ã√,109,173126,1
