学期,学号,日期,时间
1,1,1030,82349
1,1,1023,82513
1,1,926,84141
1,1,1016,84729
1,1,922,93706
1,1,1117,95422
1,1,1022,102431
1,1,1022,103034
1,1,1013,111651
1,1,1009,125429
1,1,1230,130434
1,1,1031,143127
1,1,1205,151149
1,1,1114,155306
1,1,1118,161919
1,1,1116,162126
1,1,928,162144
1,1,1212,170234
1,1,1021,183424
1,1,1214,184354
1,1,1130,185109
1,1,1115,185901
1,1,1111,194723
1,1,1026,195717
2,1,522,84319
2,1,417,84810
2,1,603,84912
2,1,307,91639
2,1,415,91958
2,1,420,101913
2,1,705,122820
2,1,419,130818
2,1,310,155243
2,1,309,160434
2,1,307,163256
2,1,310,164307
2,1,307,164445
2,1,414,181401
2,1,321,193514
2,1,420,195331
3,1,1018,101547
3,1,1118,103416
3,1,1223,120135
3,1,1105,162512
3,1,905,180044
3,1,1111,190218
3,1,1012,191148
3,1,1126,200652
1,2,117,91445
1,2,916,95103
1,2,1026,103117
1,2,924,183925
2,2,614,81820
2,2,613,82011
2,2,525,83646
2,2,610,84346
2,2,703,84445
2,2,626,84732
2,2,602,84845
2,2,620,85652
2,2,621,85741
2,2,616,85745
2,2,623,90550
2,2,704,90906
2,2,625,91120
2,2,627,91322
2,2,702,91925
2,2,629,93249
2,2,630,95241
2,2,622,95802
2,2,617,101609
2,2,611,115257
2,2,602,115653
2,2,704,135425
2,2,614,142832
2,2,616,143008
2,2,601,144408
2,2,621,144458
2,2,625,145330
2,2,623,145959
2,2,525,150738
2,2,630,150907
2,2,627,151223
2,2,702,152038
2,2,628,152518
2,2,609,153556
2,2,624,154035
2,2,629,155122
2,2,620,155355
2,2,626,161553
2,2,622,161634
2,2,610,161807
2,2,607,162039
2,2,703,162351
2,2,510,163037
2,2,615,163101
2,2,615,164016
2,2,617,165500
2,2,618,165732
2,2,619,171416
2,2,613,172348
2,2,611,175953
2,2,621,181414
2,2,618,182659
2,2,706,184522
2,2,701,192136
3,2,1117,151548
3,2,1117,180536
3,2,1118,184224
1,3,104,81049
1,3,928,82908
1,3,1015,84430
1,3,1019,84920
1,3,917,85024
1,3,1012,85247
1,3,1207,90106
1,3,1215,91721
1,3,1202,92751
1,3,1209,111529
1,3,1013,114823
1,3,1105,121900
1,3,1006,122827
1,3,1208,123103
1,3,901,123643
1,3,1206,144337
1,3,1213,145334
1,3,1013,161556
1,3,919,161643
1,3,929,161729
1,3,1128,161949
1,3,1201,162312
1,3,117,163042
1,3,1014,163100
1,3,1017,164320
1,3,117,164705
1,3,1129,180816
1,3,920,184205
1,3,1012,191223
1,3,1019,193920
1,3,1005,200451
1,3,1020,200643
1,3,917,201754
1,3,1014,203555
1,3,1114,204146
1,3,918,211544
2,3,623,75812
2,3,702,81224
2,3,509,81903
2,3,331,82312
2,3,623,83516
2,3,512,83725
2,3,227,84243
2,3,621,84921
2,3,702,84941
2,3,511,91039
2,3,505,92926
2,3,411,95016
2,3,614,101656
2,3,517,102417
2,3,301,102447
2,3,527,104119
2,3,303,120623
2,3,505,122232
2,3,302,123133
2,3,306,124619
2,3,623,125745
2,3,610,133434
2,3,702,133634
2,3,510,143422
2,3,224,143917
2,3,620,152823
2,3,511,163849
2,3,707,170705
2,3,511,181312
2,3,515,192014
2,3,308,194531
2,3,705,195527
2,3,418,202420
2,3,419,203203
3,3,1228,83757
3,3,915,104021
3,3,1115,104925
3,3,109,130637
3,3,1115,135544
3,3,108,135906
3,3,906,152658
3,3,1013,154955
3,3,1010,170525
3,3,102,180113
3,3,110,192303
3,3,108,195014
3,3,109,201758
3,3,921,205223
3,3,1215,210341
1,4,1009,82518
1,4,1015,82533
1,4,1204,83332
1,4,1014,83922
1,4,110,90731
1,4,928,102541
1,4,1020,103401
1,4,1205,104123
1,4,1229,104437
1,4,1102,113912
1,4,1210,133728
1,4,1104,133940
1,4,901,142000
1,4,924,143331
1,4,113,144407
1,4,1219,144429
1,4,108,150240
1,4,1108,175121
1,4,927,180229
1,4,1206,181103
1,4,108,182045
1,4,1109,183127
1,4,1220,184012
1,4,113,184927
1,4,1102,185204
1,4,924,185241
1,4,1111,185616
1,4,1202,185744
1,4,917,191211
1,4,1205,191732
1,4,1123,193959
1,4,1207,195030
2,4,520,81605
2,4,702,82431
2,4,627,82942
2,4,616,83406
2,4,704,83440
2,4,621,85654
2,4,629,85709
2,4,625,90126
2,4,614,90318
2,4,526,91404
2,4,508,91425
2,4,622,91925
2,4,630,92413
2,4,429,93011
2,4,401,102009
2,4,520,112243
2,4,625,144020
2,4,609,144510
2,4,702,152114
2,4,701,152728
2,4,627,153446
2,4,630,154654
2,4,628,155726
2,4,607,162009
2,4,630,173658
2,4,702,174851
2,4,629,180033
2,4,614,180617
2,4,621,181720
2,4,709,182106
2,4,615,182532
2,4,707,182807
2,4,703,182918
2,4,321,182921
2,4,502,183223
2,4,613,185101
2,4,606,190649
2,4,507,191300
2,4,618,192635
2,4,424,192722
2,4,508,193935
2,4,509,200034
2,4,521,212631
3,4,106,84506
3,4,112,90135
3,4,112,90214
3,4,110,90239
3,4,1105,90412
3,4,1229,91917
3,4,1107,92034
3,4,111,121004
3,4,106,121725
3,4,1201,122327
3,4,110,122919
3,4,112,124753
3,4,1020,125731
3,4,109,131614
3,4,1208,140748
3,4,1221,141911
3,4,1231,142215
3,4,1202,143313
3,4,1229,143947
3,4,1225,152428
3,4,1225,152428
3,4,908,154451
3,4,112,161049
3,4,928,161735
3,4,109,180205
3,4,1218,180537
3,4,1205,180757
3,4,1211,180955
3,4,1225,181119
3,4,1225,181119
3,4,111,181235
3,4,1230,181256
3,4,1223,181422
3,4,112,181509
3,4,1228,181553
3,4,1229,181728
3,4,1217,182223
3,4,1221,182354
3,4,1208,183431
3,4,905,183456
3,4,1019,183645
3,4,1224,183917
3,4,110,184138
3,4,1204,184502
3,4,1212,184521
3,4,1203,185000
3,4,1207,185949
3,4,1215,190200
3,4,915,190640
3,4,1010,190900
3,4,924,191737
3,4,1009,192245
3,4,925,194328
3,4,910,194607
3,4,904,200818
1,5,111,70604
1,5,109,71838
1,5,116,75011
1,5,108,75248
1,5,109,80612
1,5,110,81434
1,5,105,81722
1,5,1228,82203
1,5,106,82511
1,5,104,82747
1,5,115,83137
1,5,1207,84141
1,5,113,84236
1,5,1019,84949
1,5,1102,85504
1,5,1214,85728
1,5,1112,85817
1,5,1210,85923
1,5,1123,90203
1,5,1029,90503
1,5,1110,92015
1,5,1026,94051
1,5,917,95826
1,5,1104,100838
1,5,901,102812
1,5,108,110114
1,5,1122,110604
1,5,114,113634
1,5,107,115816
1,5,1228,121902
1,5,1028,131426
1,5,115,134928
1,5,110,135320
1,5,1007,140543
1,5,1227,142155
1,5,108,142903
1,5,111,143124
1,5,106,143421
1,5,107,143557
1,5,113,145144
1,5,1216,150601
1,5,114,151405
1,5,1213,152748
1,5,105,155758
1,5,1206,160907
1,5,1017,161934
1,5,104,161955
1,5,1024,162312
1,5,1109,162926
1,5,1030,163123
1,5,1128,163558
1,5,915,163810
1,5,116,164551
1,5,109,165554
1,5,1228,173306
1,5,920,180547
1,5,1030,181934
1,5,1129,183645
1,5,1110,183843
1,5,1025,190201
1,5,110,192227
1,5,1229,194021
2,5,627,75114
2,5,703,75225
2,5,511,80257
2,5,623,80454
2,5,704,80734
2,5,622,80933
2,5,702,81202
2,5,320,81455
2,5,625,81837
2,5,529,81857
2,5,512,81951
2,5,630,82135
2,5,616,84542
2,5,629,84839
2,5,324,85431
2,5,318,85744
2,5,621,90928
2,5,225,101022
2,5,628,104911
2,5,417,125919
2,5,417,133458
2,5,524,135730
2,5,622,135916
2,5,414,140115
2,5,623,141329
2,5,616,142210
2,5,627,143003
2,5,624,143209
2,5,625,143922
2,5,628,144333
2,5,303,144440
2,5,510,144504
2,5,704,144529
2,5,702,144934
2,5,629,145231
2,5,626,153540
2,5,703,160324
2,5,412,162326
2,5,616,185108
2,5,227,191914
2,5,419,195539
2,5,627,201150
3,5,114,75210
3,5,114,75240
3,5,106,80411
3,5,1229,80905
3,5,102,81126
3,5,113,81521
3,5,1107,81940
3,5,109,83034
3,5,114,83118
3,5,108,83705
3,5,110,83748
3,5,112,84532
3,5,105,121856
3,5,1129,131727
3,5,111,132913
3,5,1225,141816
3,5,1225,141816
3,5,109,143540
3,5,110,143854
3,5,1226,144127
3,5,1226,144127
3,5,112,145044
3,5,1011,145807
3,5,107,154122
3,5,903,162345
3,5,1024,162351
3,5,912,162705
3,5,1230,171905
3,5,110,175035
3,5,1228,180134
3,5,1227,180314
3,5,1204,180540
3,5,1023,181821
3,5,905,191323
3,5,1223,191748
3,5,1227,220322
1,6,108,72458
1,6,111,73740
1,6,104,74848
1,6,113,80850
1,6,917,83231
1,6,109,84800
1,6,115,100855
1,6,117,101928
1,6,1123,104126
1,6,108,105237
1,6,114,113648
1,6,1216,114056
1,6,115,115707
1,6,109,115812
1,6,111,120550
1,6,113,120624
1,6,106,121648
1,6,1229,122942
1,6,1127,125047
1,6,1030,125326
1,6,114,125735
1,6,1007,125849
1,6,1016,125913
1,6,107,132422
1,6,1021,132433
1,6,901,134306
1,6,1215,145524
1,6,916,145809
1,6,105,152441
1,6,116,155028
1,6,1228,161354
1,6,921,161540
1,6,1226,162408
1,6,1230,164718
1,6,109,165106
1,6,108,172818
1,6,111,174154
1,6,104,174848
1,6,1216,175031
1,6,116,180040
1,6,1229,180149
1,6,115,180411
1,6,919,181214
1,6,105,182633
1,6,106,183955
1,6,920,184208
1,6,109,184433
1,6,1120,184604
1,6,1221,190351
1,6,112,191026
1,6,107,192116
1,6,1019,194320
1,6,917,201743
1,6,113,201931
1,6,1230,203715
1,6,1228,204048
1,6,1227,205720
1,6,1216,211542
1,6,1008,211621
1,6,1226,212145
2,6,626,80738
2,6,618,81619
2,6,522,81759
2,6,703,81918
2,6,625,83850
2,6,508,84020
2,6,603,84148
2,6,513,84423
2,6,627,85250
2,6,620,85416
2,6,704,93706
2,6,311,102516
2,6,626,105512
2,6,626,114606
2,6,525,114852
2,6,704,121220
2,6,703,121400
2,6,519,121701
2,6,515,125448
2,6,625,130847
2,6,413,132709
2,6,303,132829
2,6,627,135435
2,6,625,140316
2,6,614,152619
2,6,528,153222
2,6,411,161507
2,6,228,162420
2,6,224,163449
2,6,511,165237
2,6,518,174415
2,6,515,180454
2,6,529,181337
2,6,624,181533
2,6,411,182546
2,6,410,182901
2,6,616,183445
2,6,619,183736
2,6,627,183849
2,6,502,185239
2,6,226,185351
2,6,625,191049
2,6,516,192249
2,6,614,192401
2,6,607,192747
2,6,313,194022
2,6,514,194133
2,6,329,201630
2,6,308,202118
2,6,310,202354
2,6,702,202644
2,6,420,202950
2,6,409,205023
2,6,411,211243
3,6,1229,83423
3,6,1029,90041
3,6,1017,101653
3,6,1117,110242
3,6,1011,120919
3,6,1229,121027
3,6,1017,141535
3,6,1124,164521
3,6,1229,174555
3,6,1016,175200
3,6,1017,181758
3,6,111,181809
3,6,1023,181831
3,6,1109,185451
3,6,1204,191203
1,7,917,82136
1,7,1225,82150
1,7,1210,82158
1,7,1218,82338
1,7,1127,82345
1,7,1029,82351
1,7,1206,82556
1,7,1204,82659
1,7,1106,82843
1,7,1205,82903
1,7,1010,83521
1,7,1024,84303
1,7,1024,84518
1,7,926,84604
1,7,103,84657
1,7,1227,84858
1,7,1104,90525
1,7,104,91436
1,7,1229,93530
1,7,1227,93736
1,7,921,101220
1,7,1012,101958
1,7,1014,104300
1,7,928,104401
1,7,102,104529
1,7,901,111712
1,7,1103,112535
1,7,1111,114146
1,7,104,120532
1,7,102,121638
1,7,1227,123504
1,7,103,123907
1,7,1229,131049
1,7,1111,141008
1,7,1027,141633
1,7,921,143152
1,7,1014,143730
1,7,1104,144604
1,7,105,144948
1,7,104,151359
1,7,1103,151824
1,7,1010,154728
1,7,1228,160010
1,7,1108,161952
1,7,104,175859
1,7,103,181205
1,7,1021,181636
1,7,102,181659
1,7,1109,182537
1,7,1129,182912
1,7,105,182957
1,7,1230,184326
1,7,1227,190106
1,7,1111,190616
1,7,1116,191554
1,7,112,192846
1,7,1110,193316
1,7,1009,194400
1,7,1122,194940
1,7,1229,203229
1,7,1201,204931
1,7,1227,205658
1,7,1111,210136
2,7,324,81006
2,7,620,81726
2,7,515,81755
2,7,629,81800
2,7,301,82333
2,7,626,82457
2,7,704,83708
2,7,328,83807
2,7,611,83908
2,7,412,84217
2,7,621,84227
2,7,504,84424
2,7,330,90059
2,7,706,90225
2,7,504,104051
2,7,628,112427
2,7,622,121016
2,7,704,121700
2,7,505,122109
2,7,625,122726
2,7,611,122859
2,7,710,123128
2,7,708,123902
2,7,627,125017
2,7,316,134137
2,7,613,141427
2,7,413,141648
2,7,614,141651
2,7,606,142929
2,7,629,143539
2,7,504,144524
2,7,406,150433
2,7,706,151311
2,7,620,152305
2,7,704,152721
2,7,618,154203
2,7,626,155443
2,7,617,161544
2,7,703,162104
2,7,228,162725
2,7,619,165936
2,7,701,175426
2,7,706,181710
2,7,707,181810
2,7,625,181924
2,7,523,182440
2,7,322,182952
2,7,708,183139
2,7,622,183327
2,7,704,184052
2,7,621,184131
2,7,627,185004
2,7,619,191141
2,7,618,192200
2,7,614,194810
2,7,624,195005
2,7,418,195505
2,7,611,200802
2,7,628,200838
2,7,301,201117
2,7,308,202135
2,7,605,203036
2,7,504,205539
3,7,1228,90531
3,7,1229,91655
3,7,901,92159
3,7,108,93533
3,7,1113,94644
3,7,1130,95152
3,7,1018,101902
3,7,112,121701
3,7,108,122140
3,7,104,123647
3,7,1230,123824
3,7,1129,125523
3,7,1223,125809
3,7,1218,131106
3,7,1231,131507
3,7,1229,131748
3,7,1206,132633
3,7,1220,134027
3,7,901,141453
3,7,114,162027
3,7,912,162249
3,7,1224,162308
3,7,1010,162829
3,7,111,172614
3,7,1227,173644
3,7,922,174322
3,7,1011,174646
3,7,1229,182116
3,7,1223,182331
3,7,104,182704
3,7,1122,183118
3,7,1024,190327
3,7,102,190831
3,7,113,191038
3,7,108,191833
3,7,105,191905
3,7,106,192039
3,7,1230,192118
3,7,908,194220
3,7,1206,194854
3,7,1129,194919
3,7,1224,200513
3,7,1224,200513
3,7,1011,203346
3,7,903,203439
1,8,110,71901
1,8,115,72007
1,8,117,73425
1,8,116,73456
1,8,106,75921
1,8,1112,81911
1,8,1204,82134
1,8,1219,82159
1,8,1213,82211
1,8,1227,82223
1,8,1211,82308
1,8,1210,82320
1,8,1225,82334
1,8,1205,82342
1,8,1218,82436
1,8,1203,102444
1,8,1217,102850
1,8,1201,103526
1,8,1209,122715
1,8,115,134906
1,8,106,153024
1,8,116,155034
1,8,1207,162527
1,8,901,170612
1,8,117,172638
1,8,1024,173251
1,8,921,173442
1,8,929,184442
1,8,1019,190932
1,8,924,191053
1,8,1024,201533
2,8,616,80054
2,8,618,80647
2,8,525,81407
2,8,318,81539
2,8,603,81643
2,8,629,82011
2,8,607,82026
2,8,506,82111
2,8,308,82313
2,8,227,82313
2,8,301,82336
2,8,513,82406
2,8,703,83208
2,8,602,83556
2,8,625,84038
2,8,627,85132
2,8,630,85452
2,8,620,90806
2,8,622,91158
2,8,617,105646
2,8,521,111444
2,8,704,111549
2,8,621,111627
2,8,625,114354
2,8,629,123623
2,8,625,125058
2,8,704,132955
2,8,630,143205
2,8,616,143539
2,8,624,145434
2,8,525,150224
2,8,614,150831
2,8,602,153249
2,8,701,154658
2,8,309,161205
2,8,605,162115
2,8,607,162200
2,8,609,163018
2,8,711,163659
2,8,529,164156
2,8,620,164257
2,8,613,164342
2,8,621,165444
2,8,509,165957
2,8,626,171728
2,8,310,174900
2,8,620,180257
2,8,616,180318
2,8,513,181036
2,8,629,181642
2,8,628,182737
2,8,623,182815
2,8,614,182840
2,8,608,183251
2,8,630,183549
2,8,702,183632
2,8,619,185517
2,8,301,190017
2,8,603,190617
2,8,703,191110
2,8,522,191907
2,8,606,192201
2,8,615,192444
2,8,306,193836
2,8,320,194659
2,8,627,200810
2,8,608,210640
2,8,628,212613
3,8,104,74335
3,8,108,75444
3,8,106,80453
3,8,110,80529
3,8,1219,84539
3,8,1218,84841
3,8,1213,85536
3,8,1101,93459
3,8,111,102358
3,8,1024,102531
3,8,906,102704
3,8,1220,110408
3,8,1217,114211
3,8,103,114307
3,8,104,114309
3,8,106,115656
3,8,1218,120114
3,8,110,121739
3,8,1019,121823
3,8,1223,123038
3,8,1102,123758
3,8,111,125641
3,8,1218,130504
3,8,105,131451
3,8,108,131543
3,8,1221,134135
3,8,1202,151326
3,8,111,164352
3,8,105,173203
3,8,1215,174641
3,8,108,180428
3,8,103,181101
3,8,1217,181714
3,8,910,183322
3,8,106,184352
3,8,1221,184921
3,8,104,185837
3,8,1217,193059
3,8,110,193305
3,8,903,193308
3,8,1009,194613
1,9,1021,74804
1,9,1227,81942
1,9,1015,82006
1,9,1029,82337
1,9,1024,82552
1,9,1023,82708
1,9,106,85713
1,9,105,85943
1,9,1009,90925
1,9,1127,91339
1,9,104,92014
1,9,1223,94251
1,9,1224,102015
1,9,1102,102345
1,9,924,102443
1,9,1109,103323
1,9,108,105656
1,9,1007,105810
1,9,106,115023
1,9,1206,132212
1,9,115,134806
1,9,108,135927
1,9,105,142215
1,9,107,143114
1,9,1226,145251
1,9,104,145645
1,9,1227,150411
1,9,919,152823
1,9,1223,162602
1,9,901,163121
1,9,924,183925
1,9,108,184230
1,9,105,190344
1,9,1227,191256
1,9,104,191722
1,9,107,192417
1,9,1127,193421
1,9,1119,194610
1,9,1224,200437
1,9,1009,204700
2,9,320,81431
2,9,321,81451
2,9,407,81454
2,9,412,81458
2,9,314,81633
2,9,315,81906
2,9,318,82314
2,9,322,82351
2,9,522,83008
2,9,418,83323
2,9,630,83901
2,9,523,84142
2,9,510,84230
2,9,627,84316
2,9,515,84634
2,9,616,84658
2,9,605,84738
2,9,603,85044
2,9,625,85242
2,9,420,85923
2,9,629,90013
2,9,703,90025
2,9,608,90723
2,9,330,92620
2,9,317,92811
2,9,331,93154
2,9,421,93208
2,9,621,93554
2,9,708,93848
2,9,607,94303
2,9,519,95740
2,9,310,101549
2,9,420,102130
2,9,311,102358
2,9,707,102751
2,9,626,105256
2,9,624,115834
2,9,628,120203
2,9,625,120814
2,9,627,121751
2,9,629,122032
2,9,704,123342
2,9,605,125830
2,9,630,130025
2,9,702,131906
2,9,604,132823
2,9,614,134208
2,9,324,141033
2,9,414,143619
2,9,510,143800
2,9,616,144247
2,9,621,144310
2,9,623,145840
2,9,701,150130
2,9,226,152508
2,9,420,152957
2,9,524,153603
2,9,413,153620
2,9,316,161851
2,9,702,174319
2,9,629,174408
2,9,704,175839
2,9,625,180025
2,9,630,182832
2,9,621,183803
2,9,624,184812
2,9,323,185327
2,9,601,185622
2,9,517,185939
2,9,703,190237
2,9,515,190559
2,9,623,190842
2,9,620,192038
2,9,510,192836
2,9,330,194231
2,9,627,194349
2,9,504,194538
2,9,405,195023
2,9,523,195218
2,9,614,195347
2,9,609,200152
2,9,511,201703
2,9,509,202429
2,9,514,202620
2,9,320,203158
2,9,628,203213
2,9,527,203847
2,9,426,204131
2,9,326,204716
2,9,324,204859
2,9,307,205211
2,9,421,205649
2,9,321,210638
2,9,409,211236
2,9,521,211530
2,9,423,211612
2,9,629,212314
2,9,701,213423
2,9,316,214848
3,9,106,81843
3,9,1231,82847
3,9,102,83646
3,9,1229,84802
3,9,113,92823
3,9,114,93415
3,9,112,93734
3,9,1228,95750
3,9,1014,102305
3,9,912,102727
3,9,1118,103200
3,9,1230,112647
3,9,1103,120327
3,9,111,122347
3,9,106,123030
3,9,1229,123258
3,9,1228,124353
3,9,105,125902
3,9,110,132032
3,9,106,133110
3,9,104,140433
3,9,112,142740
3,9,1225,150517
3,9,1225,150517
3,9,1127,153915
3,9,1204,155107
3,9,1014,163718
3,9,1014,164138
3,9,902,170152
3,9,1226,172554
3,9,1226,172554
3,9,1227,172717
3,9,1228,173124
3,9,104,173232
3,9,1230,174440
3,9,105,174749
3,9,110,175033
3,9,1130,180326
3,9,109,180438
3,9,1231,180703
3,9,1116,180926
3,9,1224,182959
3,9,106,191411
3,9,102,191850
3,9,1212,193938
3,9,111,194957
3,9,910,200922
3,9,110,203224
3,9,1229,211029
3,9,1227,213332
1,10,1019,81903
1,10,1012,82005
1,10,1005,82014
1,10,1205,82046
1,10,1005,82053
1,10,1214,82111
1,10,1130,82115
1,10,1009,82121
1,10,1023,82131
1,10,1211,82131
1,10,1218,82142
1,10,1010,82154
1,10,1016,82227
1,10,1207,82232
1,10,1106,82325
1,10,116,82414
1,10,918,82509
1,10,1219,82532
1,10,115,82825
1,10,117,82839
1,10,1110,82932
1,10,1103,83340
1,10,1021,83425
1,10,1006,84147
1,10,925,84233
1,10,917,84415
1,10,1113,84611
1,10,1027,84656
1,10,928,84705
1,10,111,84745
1,10,926,84952
1,10,1007,84959
1,10,1116,85120
1,10,105,85229
1,10,113,85232
1,10,1127,90055
1,10,1216,90247
1,10,1202,90426
1,10,1228,90522
1,10,1129,90747
1,10,1118,90808
1,10,103,91024
1,10,1209,91551
1,10,1125,92103
1,10,916,95257
1,10,1126,100443
1,10,916,100533
1,10,1224,102012
1,10,1123,105823
1,10,115,112819
1,10,111,113410
1,10,113,113751
1,10,1020,120335
1,10,1013,120708
1,10,1004,120740
1,10,114,121005
1,10,913,121320
1,10,1014,122011
1,10,103,122529
1,10,1117,122655
1,10,106,122745
1,10,1007,123335
1,10,1027,123511
1,10,1129,124057
1,10,112,125032
1,10,1108,125320
1,10,119,130204
1,10,110,130331
1,10,915,131038
1,10,107,131703
1,10,1004,132346
1,10,102,132943
1,10,1006,134441
1,10,108,140523
1,10,1028,141115
1,10,1209,142015
1,10,1201,142204
1,10,118,142619
1,10,1215,142649
1,10,1227,142706
1,10,1104,143550
1,10,1203,143553
1,10,1220,143615
1,10,1005,151249
1,10,901,153624
1,10,111,154521
1,10,1109,161659
1,10,1226,161710
1,10,1116,161835
1,10,1019,161939
1,10,1120,162009
1,10,1130,162018
1,10,1122,162206
1,10,1221,162241
1,10,1207,162423
1,10,1206,162503
1,10,1129,165008
1,10,109,172357
1,10,114,173423
1,10,112,173623
1,10,116,174457
1,10,1103,175208
1,10,929,175933
1,10,1102,180621
1,10,104,180651
1,10,113,180655
1,10,108,180747
1,10,107,181136
1,10,118,181516
1,10,106,182515
1,10,110,183048
1,10,111,184200
1,10,105,184232
1,10,1026,184809
1,10,1121,190541
1,10,1106,190558
1,10,1109,191636
1,10,924,191709
1,10,1030,191820
1,10,1012,192131
1,10,1115,192306
1,10,1111,192638
1,10,1110,193520
1,10,1116,201406
1,10,1025,202208
1,10,107,203403
2,10,319,81340
2,10,702,82018
2,10,227,82202
2,10,228,82404
2,10,623,85312
2,10,618,85349
2,10,625,85945
2,10,620,90636
2,10,630,92315
2,10,710,94706
2,10,622,95540
2,10,301,102229
2,10,304,104221
2,10,224,114615
2,10,702,115727
2,10,620,115852
2,10,303,122237
2,10,227,131227
2,10,224,132000
2,10,305,133351
2,10,302,140320
2,10,526,144639
2,10,411,161144
2,10,228,162231
2,10,301,180910
2,10,616,181930
2,10,312,185007
2,10,616,193038
3,10,1203,92317
3,10,906,102012
3,10,1207,144840
3,10,1116,145035
3,10,1226,152953
3,10,1226,152953
1,11,1029,82218
1,11,1102,82253
1,11,1030,82421
1,11,1024,83418
1,11,1113,84612
1,11,1221,102058
1,11,1109,103539
1,11,1206,125419
1,11,1029,144724
1,11,116,154905
1,11,1114,161850
1,11,1128,161915
1,11,1205,161935
1,11,1019,161939
1,11,1107,161948
1,11,1031,162112
1,11,1025,162300
1,11,1024,162321
1,11,1026,162403
1,11,1101,163115
1,11,1129,165009
1,11,1125,173746
1,11,1122,184415
2,11,511,91225
2,11,704,93433
2,11,530,93528
2,11,418,94717
2,11,517,103949
2,11,531,105205
2,11,327,134419
3,11,1226,152954
3,11,1226,152954
1,12,111,73815
1,12,109,74047
1,12,112,74146
1,12,114,74312
1,12,107,74430
1,12,108,74447
1,12,110,80140
1,12,116,81224
1,12,117,81605
1,12,106,82452
1,12,105,84457
1,12,115,92539
1,12,104,93952
1,12,1125,112908
1,12,1228,122830
1,12,111,122926
1,12,107,123306
1,12,106,123731
1,12,1213,124559
1,12,114,131232
1,12,1119,133910
1,12,115,135235
1,12,1128,140401
1,12,1230,142532
1,12,1212,142725
1,12,1206,150048
1,12,1017,150605
1,12,110,153146
1,12,1205,154436
1,12,1230,154750
1,12,1229,154852
1,12,1202,154906
1,12,928,162030
1,12,1219,163117
1,12,112,165518
1,12,1010,165928
1,12,1114,170825
1,12,1230,172048
1,12,1116,173100
1,12,1102,173909
1,12,1221,173909
1,12,1012,174306
1,12,107,175656
1,12,108,180654
1,12,116,180751
1,12,1228,183436
1,12,115,184147
1,12,109,184557
1,12,104,193641
1,12,929,200849
1,12,112,204054
1,12,105,205444
2,12,627,72241
2,12,705,72808
2,12,618,72942
2,12,701,73428
2,12,704,74808
2,12,630,80658
2,12,702,81425
2,12,520,82926
2,12,626,83401
2,12,513,84412
2,12,616,85359
2,12,522,85800
2,12,703,90341
2,12,601,90757
2,12,511,91755
2,12,621,92112
2,12,515,100226
2,12,620,100256
2,12,604,100420
2,12,614,100721
2,12,625,102645
2,12,617,105019
2,12,524,110450
2,12,629,111216
2,12,515,111529
2,12,628,113354
2,12,622,113442
2,12,626,114250
2,12,623,114335
2,12,428,120501
2,12,615,121932
2,12,627,122055
2,12,630,122136
2,12,630,122627
2,12,707,125420
2,12,604,130817
2,12,328,131002
2,12,504,131330
2,12,610,132609
2,12,619,140331
2,12,321,145220
2,12,302,145918
2,12,701,151538
2,12,624,151846
2,12,617,161545
2,12,426,162029
2,12,629,165228
2,12,619,165809
2,12,613,171818
2,12,419,172821
2,12,703,173220
2,12,519,173532
2,12,620,174200
2,12,701,174249
2,12,621,174759
2,12,504,175755
2,12,702,175846
2,12,625,180057
2,12,616,180242
2,12,630,180546
2,12,529,180643
2,12,607,180859
2,12,626,181810
2,12,629,183334
2,12,622,183944
2,12,704,184137
2,12,403,184553
2,12,624,184733
2,12,302,190727
2,12,619,194651
2,12,511,200649
2,12,628,205203
3,12,107,73328
3,12,109,75404
3,12,1231,80345
3,12,106,81015
3,12,113,82346
3,12,1228,82810
3,12,110,82916
3,12,112,82940
3,12,104,90111
3,12,1112,90149
3,12,111,92850
3,12,920,111542
3,12,107,114154
3,12,1110,114316
3,12,1118,115506
3,12,1231,121443
3,12,114,122203
3,12,106,130637
3,12,1228,132827
3,12,1117,150427
3,12,1201,150459
3,12,1129,152912
3,12,1231,163042
3,12,112,180513
3,12,105,181233
3,12,109,184023
3,12,106,184113
3,12,1124,190756
3,12,1013,195423
3,12,1008,204456
1,13,115,75711
1,13,1103,81319
1,13,1015,81616
1,13,1210,81940
1,13,1115,82037
1,13,1030,82156
1,13,1204,82159
1,13,111,82202
1,13,1127,82212
1,13,1113,82331
1,13,1106,82356
1,13,110,82557
1,13,117,83034
1,13,1219,83333
1,13,1029,84047
1,13,105,84717
1,13,116,85636
1,13,109,85905
1,13,1014,90950
1,13,1013,90951
1,13,1225,90958
1,13,1008,101730
1,13,1105,101815
1,13,1119,101841
1,13,1109,101842
1,13,1224,101907
1,13,1203,101916
