学期,学号,日期,时间
1,1,102,120746
1,1,102,185059
1,1,103,90410
1,1,105,91838
1,1,105,151155
1,1,105,174644
1,1,106,90447
1,1,107,180139
1,1,107,213108
1,1,109,80209
1,1,109,173931
1,1,110,80029
1,1,111,143629
1,1,112,142001
1,1,112,185533
1,1,113,175258
1,1,114,172301
1,1,116,120532
1,1,116,173353
2,1,225,144401
2,1,226,162053
2,1,227,144623
2,1,302,93715
2,1,302,175009
2,1,303,125809
2,1,305,101704
2,1,307,162408
2,1,309,151714
2,1,311,191613
2,1,314,190204
2,1,317,115033
2,1,321,204427
2,1,323,124622
2,1,328,183342
2,1,402,161257
2,1,405,183024
2,1,406,185447
2,1,408,142523
2,1,411,190716
2,1,412,201519
2,1,415,144008
2,1,416,185918
2,1,418,174943
2,1,514,161207
2,1,514,182931
2,1,519,141415
2,1,603,192351
2,1,604,152525
2,1,613,184414
2,1,614,152444
2,1,617,190007
2,1,625,202009
2,1,626,65846
2,1,626,81305
2,1,713,134359
1,1,901,142228
3,1,901,150651
3,1,908,184240
3,1,910,192721
3,1,912,144408
3,1,915,143952
1,1,915,152552
1,1,915,163416
3,1,915,182808
1,1,919,102938
1,1,920,155719
1,1,921,100122
3,1,921,140442
1,1,922,103228
1,1,924,145441
1,1,926,102507
1,1,926,153354
1,1,927,130153
1,1,928,161457
1,1,929,191737
1,1,1004,125845
1,1,1004,185513
1,1,1005,183700
1,1,1006,120321
1,1,1007,124257
1,1,1010,123015
3,1,1010,141518
3,1,1010,182456
1,1,1011,162336
3,1,1011,190919
1,1,1012,162140
3,1,1013,175719
1,1,1013,183509
1,1,1014,125808
1,1,1020,120627
1,1,1024,115933
1,1,1024,205312
1,1,1025,161727
1,1,1026,200222
1,1,1027,165648
1,1,1028,120659
1,1,1029,102645
1,1,1102,185306
1,1,1103,122442
1,1,1107,82810
1,1,1111,131909
1,1,1114,90226
1,1,1123,165920
1,1,1124,142004
1,1,1124,183448
1,1,1126,184536
3,1,1128,185550
1,1,1129,161504
1,1,1130,162534
1,1,1201,150812
1,1,1201,194512
1,1,1202,132635
1,1,1206,93329
1,1,1207,193014
1,1,1208,121836
1,1,1212,82529
1,1,1213,84733
1,1,1214,183402
1,1,1215,144220
1,1,1216,131452
3,1,1218,133818
1,1,1220,153604
1,1,1227,84154
3,2,107,150745
1,2,116,143953
2,2,225,191740
2,2,401,184221
2,2,402,184417
2,2,407,185413
2,2,409,185458
2,2,411,184542
2,2,417,184115
2,2,430,143237
2,2,502,182621
2,2,506,191837
2,2,508,193246
2,2,510,191704
2,2,513,195520
2,2,520,184826
2,2,520,191844
2,2,521,183324
2,2,522,183445
2,2,524,185113
2,2,527,194726
2,2,528,183006
2,2,603,184828
2,2,604,182219
2,2,604,201117
2,2,605,182218
2,2,606,84224
2,2,606,174510
2,2,617,80002
2,2,617,114836
2,2,618,81445
2,2,618,131039
2,2,628,80134
2,2,628,174225
2,2,702,75229
2,2,704,75548
2,2,704,133642
2,2,706,80100
2,2,706,174441
2,2,707,82544
2,2,707,123402
2,2,707,174742
2,2,713,84025
1,2,902,115518
3,2,902,190117
3,2,905,175242
3,2,910,174245
3,2,912,174202
3,2,916,183750
3,2,917,174823
1,2,920,162041
1,2,922,115707
1,2,927,103524
1,2,929,125314
3,2,1014,173623
3,2,1016,182857
3,2,1017,173407
3,2,1021,174015
3,2,1023,180251
3,2,1024,173920
1,2,1030,104741
3,2,1111,175448
3,2,1112,175221
3,2,1113,175427
3,2,1114,174526
3,2,1114,193016
3,2,1118,120645
3,2,1118,174951
3,2,1120,121116
3,2,1120,135746
3,2,1120,181925
3,2,1121,174713
1,2,1123,200543
1,2,1124,143821
3,2,1125,124254
3,2,1125,132034
